City,Region
 , 
A'SAM ,Beer Sheva 
ABBIRIM ,Acre 
ABU ABDUN ,Beer Sheva 
ABU AMMAR ,Beer Sheva 
ABU AMRE ,Beer Sheva 
ABU GHOSH ,Jerusalem 
ABU JUWEI'ID ,Beer Sheva 
ABU QUREINAT ,Beer Sheva 
ABU QUREINAT ,Beer Sheva 
ABU RUBEI'A ,Beer Sheva 
ABU RUQAYYEQ ,Beer Sheva 
ABU SINAN ,Acre 
ABU SUREIHAN ,Beer Sheva 
ABU TULUL ,Beer Sheva 
ADAMIT ,Acre 
ADANIM ,Petah Tikva 
ADDERET ,Beit Shemesh 
ADDIRIM ,Afula 
ADI ,Acre 
ADORA ,Beit Shemesh 
AFEINISH ,Beer Sheva 
AFEQ ,Acre 
AFIQ ,Tiberias 
AFIQIM ,Tiberias 
AFULA ,Afula 
AGUR ,Beit Shemesh 
AHAWA ,Ashkelon 
AHI'EZER ,Ramla 
AHIHUD ,Acre 
AHISAMAKH ,Ramla 
AHITUV ,Natanya 
AHUZZAM ,Ashkelon 
AHUZZAT BARAQ ,Afula 
AKKO ,Acre 
AL SAYYID ,Beer Sheva 
AL-ARYAN ,Hadera 
AL-AZY ,Ashkelon 
ALE ZAHAV ,Ariel 
ALFE MENASHE ,Rosh Haayin 
ALLON HAGALIL ,Afula 
ALLON SHEVUT ,Jerusalem 
ALLONE ABBA ,Afula 
ALLONE HABASHAN ,Tiberias 
ALLONE YIZHAQ ,Hadera 
ALLONIM ,Afula 
ALMA ,Tzefat 
ALMAGOR ,Tiberias 
ALMOG ,Jerusalem 
ALMON ,Jerusalem 
ALUMIM ,Beer Sheva 
ALUMMA ,Ashkelon 
ALUMMOT ,Tiberias 
AMAZYA ,Ashkelon 
AMIR ,Tzefat 
AMIRIM ,Tzefat 
AMMI'AD ,Tzefat 
AMMI'OZ ,Beer Sheva 
AMMIHAY ,Jerusalem 
AMMINADAV ,Jerusalem 
AMMIQAM ,Hadera 
AMNUN ,Tiberias 
AMQA ,Acre 
AMUQQA ,Tzefat 
ANI'AM ,Tiberias 
AR'ARA ,Hadera 
AR'ARA-BANEGEV ,Beer Sheva 
ARAD ,Beer Sheva 
ARAMSHA ,Acre 
ARBEL ,Tiberias 
ARGAMAN ,Afula 
ARI'EL ,Ariel 
ARRAB AL NAIM ,Karmiel 
ARRABE ,Acre 
ARSUF ,Natanya 
ARUGOT ,Ashkelon 
ASAD ,Beer Sheva 
ASEFAR ,Jerusalem 
ASERET ,Rehovot 
ASHALIM ,Beer Sheva 
ASHDOD ,Ashdod 
ASHDOT YA'AQOV(IHUD) ,Tiberias 
ASHDOT YA'AQOV(ME'UH ,Tiberias 
ASHERAT ,Acre 
ASHQELON ,Ashkelon 
ATAWNE ,Beer Sheva 
ATERET ,Jerusalem 
ATLIT ,Hadera 
ATRASH ,Beer Sheva 
ATSMON-SEGEV ,Karmiel 
AVDON ,Acre 
AVENAT ,Jerusalem 
AVI'EL ,Hadera 
AVI'EZER ,Beit Shemesh 
AVIGEDOR ,Ashkelon 
AVIHAYIL ,Natanya 
AVITAL ,Afula 
AVIVIM ,Tzefat 
AVNE ETAN ,Tiberias 
AVNE HEFEZ ,Natanya 
AVSHALOM ,Beer Sheva 
AVTALYON ,Karmiel 
AYANOT ,Rehovot 
AYYELET HASHAHAR ,Tzefat 
AZARYA ,Ramla 
AZOR ,Holon 
AZRI'EL ,Natanya 
AZRIQAM ,Ashkelon 
BAHAN ,Natanya 
BALFURIYYA ,Afula 
BAQA AL-GHARBIYYE ,Hadera 
BAR GIYYORA ,Beit Shemesh 
BAR YOHAY ,Tzefat 
BAR'AM ,Tzefat 
BARAQ ,Afula 
BAREQET ,Petah Tikva 
BARQAN ,Ariel 
BARQAY ,Hadera 
BASMA ,Hadera 
BASMAT TAB'UN ,Afula 
BAT AYIN ,Jerusalem 
BAT HADAR ,Ashkelon 
BAT HEFER ,Natanya 
BAT HEN ,Natanya 
BAT SHELOMO ,Hadera 
BAT YAM ,Holon 
BAZRA ,Natanya 
BE'ER MILKA ,Beer Sheva 
BE'ER ORA ,Eilat 
BE'ER SHEVA ,Beer Sheva 
BE'ER TUVEYA ,Ashkelon 
BE'ER YA'AQOV ,Ramla 
BE'ERI ,Beer Sheva 
BE'EROT YIZHAQ ,Petah Tikva 
BE'EROTAYIM ,Natanya 
BEER GANNIM ,Ashkelon 
BEIT JANN ,Karmiel 
BEN AMMI ,Acre 
BEN SHEMEN (MOSHAV) ,Ramla 
BEN SHEMEN(K.NO'AR) ,Ramla 
BEN ZAKKAY ,Rehovot 
BENAYA ,Rehovot 
BENE ATAROT ,Petah Tikva 
BENE AYISH ,Rehovot 
BENE BERAQ ,Bne Brak 
BENE DAROM ,Rehovot 
BENE DEROR ,Natanya 
BENE NEZARIM ,Beer Sheva 
BENE RE'EM ,Rehovot 
BENE YEHUDA ,Tiberias 
BENE ZIYYON ,Natanya 
BEQA'OT ,Afula 
BEQOA ,Beit Shemesh 
BERAKHA ,Ariel 
BEREKHYA ,Ashkelon 
BEROR HAYIL ,Ashkelon 
BEROSH ,Beer Sheva 
BET ALFA ,Afula 
BET ARIF ,Ramla 
BET ARYE ,Rosh Haayin 
BET BERL ,Kfar Saba 
BET DAGAN ,Ramla 
BET EL ,Jerusalem 
BET EL'AZARI ,Rehovot 
BET EZRA ,Ashkelon 
BET GAMLI'EL ,Rehovot 
BET GUVRIN ,Ashkelon 
BET HAARAVA ,Jerusalem 
BET HAEMEQ ,Acre 
BET HAGADDI ,Beer Sheva 
BET HALEVI ,Natanya 
BET HANAN ,Rehovot 
BET HANANYA ,Hadera 
BET HASHITTA ,Afula 
BET HASHMONAY ,Ramla 
BET HERUT ,Natanya 
BET HILLEL ,Tzefat 
BET HILQIYYA ,Rehovot 
BET HORON ,Jerusalem 
BET LEHEM HAGELILIT ,Afula 
BET ME'IR ,Beit Shemesh 
BET NEHEMYA ,Ramla 
BET NEQOFA ,Jerusalem 
BET NIR ,Ashkelon 
BET OREN ,Hadera 
BET OVED ,Rehovot 
BET QAMA ,Beer Sheva 
BET QESHET ,Tiberias 
BET RABBAN ,Rehovot 
BET RIMMON ,Afula 
BET SHE'AN ,Afula 
BET SHE'ARIM ,Afula 
BET SHEMESH ,Beit Shemesh 
BET SHIQMA ,Ashkelon 
BET UZZI'EL ,Ramla 
BET YANNAY ,Natanya 
BET YEHOSHUA ,Natanya 
BET YIZHAQ-SH. HEFER ,Natanya 
BET YOSEF ,Afula 
BET ZAYIT ,Jerusalem 
BET ZEID ,Afula 
BET ZERA ,Tiberias 
BET ZEVI ,Hadera 
BETAR ILLIT ,Jerusalem 
BEZET ,Acre 
BI NE ,Acre 
BINYAMINA ,Hadera 
BIR EL-MAKSUR ,Nof HaGalil 
BIR HADAGE ,Beer Sheva 
BIRIYYA ,Tzefat 
BITAN AHARON ,Natanya 
BITHA ,Beer Sheva 
BIZZARON ,Ashkelon 
BNE DKALIM ,Ashkelon 
BRUKHIN ,Ariel 
BU'EINE-NUJEIDAT ,Nof HaGalil 
BUQ'ATA ,Tzefat 
BURGETA ,Natanya 
BUSTAN HAGALIL ,Acre 
DABBURYE ,Afula 
DAFNA ,Tzefat 
DAHI ,Afula 
DALIYAT AL-KARMEL ,Haifa 
DALIYYA ,Afula 
DALTON ,Tzefat 
DAN ,Tzefat 
DAVERAT ,Afula 
DEGANYA ALEF ,Tiberias 
DEGANYA BET ,Tiberias 
DEIR AL-ASAD ,Acre 
DEIR HANNA ,Acre 
DEIR RAFAT ,Beit Shemesh 
DEMEIDE ,Karmiel 
